score=314,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=315,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=316,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=317,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=318,认假率=0.000000,拒真率=0.997883,识别率=0.501058
score=319,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=320,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=321,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=322,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=323,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=324,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=325,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=326,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=327,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=328,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=329,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=330,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=331,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=332,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=333,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=334,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=335,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=336,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=337,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=338,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=339,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=340,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=341,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=342,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=343,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=344,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=345,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=346,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=347,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=348,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=349,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=350,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=351,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=352,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=353,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=354,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=355,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=356,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=357,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=358,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=359,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=360,认假率=0.000000,拒真率=0.998501,识别率=0.500750
score=361,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=362,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=363,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=364,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=365,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=366,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=367,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=368,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=369,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=370,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=371,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=372,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=373,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=374,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=375,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=376,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=377,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=378,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=379,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=380,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=381,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=382,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=383,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=384,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=385,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=386,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=387,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=388,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=389,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=390,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=391,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=392,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=393,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=394,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=395,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=396,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=397,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=398,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=399,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=400,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=401,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=402,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=403,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=404,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=405,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=406,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=407,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=408,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=409,认假率=0.000000,拒真率=0.998942,识别率=0.500529
score=410,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=411,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=412,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=413,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=414,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=415,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=416,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=417,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=418,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=419,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=420,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=421,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=422,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=423,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=424,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=425,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=426,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=427,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=428,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=429,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=430,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=431,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=432,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=433,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=434,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=435,认假率=0.000000,拒真率=0.999206,识别率=0.500397
score=436,认假率=0.000000,拒真率=0.999206,识别率=0.500397
